image_name,tags
000005.xml,chair
000007.xml,car
000009.xml,horse|person
000012.xml,car
000016.xml,bicycle
000017.xml,person|horse
000019.xml,cat
000020.xml,car
000021.xml,dog|person
000023.xml,bicycle|person
000024.xml,train
000026.xml,car
000030.xml,bicycle|person
000032.xml,aeroplane|person
000033.xml,aeroplane
000034.xml,train
000035.xml,person|diningtable
000036.xml,dog
000039.xml,tvmonitor
000041.xml,tvmonitor|person
000042.xml,train
000044.xml,chair|cat
000046.xml,bird
000047.xml,car|chair
000048.xml,bird|person
000050.xml,chair|bottle|person
000051.xml,motorbike|person
000052.xml,pottedplant
000060.xml,car
000061.xml,boat
000063.xml,dog|chair
000064.xml,bird
000065.xml,dog
000066.xml,person
000072.xml,motorbike
000073.xml,pottedplant|boat|person
000077.xml,cat
000078.xml,dog
000081.xml,sofa|person
000083.xml,car|person
000089.xml,person|chair
000091.xml,car
000093.xml,dog|chair
000095.xml,train
000099.xml,cat
000101.xml,chair|person
000102.xml,sofa
000104.xml,tvmonitor|person
000107.xml,sheep|cow
000109.xml,bird
000110.xml,person
000112.xml,dog|chair
000113.xml,person
000117.xml,aeroplane
000118.xml,cat
000120.xml,dog
000121.xml,tvmonitor
000122.xml,cat
000123.xml,train
000125.xml,bicycle|person
000129.xml,bicycle|person
000130.xml,boat
000131.xml,car|person
000132.xml,bus
000133.xml,person|horse
000134.xml,car
000138.xml,person
000140.xml,dog|sofa
000141.xml,bird
000142.xml,car
000143.xml,cat
000146.xml,person
000147.xml,chair
000150.xml,horse|person
000153.xml,car
000154.xml,boat
000156.xml,sofa|car
000158.xml,bird
000159.xml,person|car
000161.xml,car
000162.xml,tvmonitor|person
000163.xml,person|motorbike
000164.xml,motorbike|person
000165.xml,person
000169.xml,car|person
000170.xml,bottle|person
000171.xml,dog|person
000173.xml,person|horse
000174.xml,person
000177.xml,diningtable|person
000180.xml,car
000184.xml,boat
000187.xml,tvmonitor
000189.xml,bird
000190.xml,bus|person
000192.xml,person|chair
000193.xml,person|sofa
000194.xml,horse|person
000198.xml,train
000200.xml,person|bottle
000203.xml,chair
000207.xml,bus
000208.xml,diningtable|chair|sofa
000209.xml,cat
000210.xml,car|person
000211.xml,cow
000214.xml,horse
000215.xml,cat
000218.xml,dog|chair|person
000219.xml,motorbike
000220.xml,car|person
000221.xml,car
000222.xml,diningtable|person|bottle|chair
000224.xml,tvmonitor|bottle
000225.xml,sheep
000228.xml,aeroplane
000229.xml,diningtable|person|bottle|chair
000232.xml,cow|person|boat
000233.xml,sheep|car
000235.xml,chair|diningtable|sofa|pottedplant
000236.xml,bird
000241.xml,boat
000242.xml,cat
000244.xml,sheep
000245.xml,car|person
000246.xml,dog
000249.xml,chair|diningtable
000250.xml,diningtable|bottle
000251.xml,car|person
000256.xml,aeroplane
000257.xml,tvmonitor|person
000259.xml,person
000262.xml,car
000263.xml,car
000266.xml,dog|sofa
000268.xml,aeroplane
000269.xml,bottle|person
000270.xml,train
000275.xml,person|horse
000276.xml,person
000278.xml,dog|person
000282.xml,chair|person
000285.xml,person|chair
000288.xml,person|car|bus
