image_name,tags
COCO_train2014_000000480023,person hot_dog
COCO_train2014_000000050518,person boat bench cup hot_dog dining_table
COCO_train2014_000000142589,bowl hot_dog
COCO_train2014_000000209263,person hot_dog dining_table
COCO_train2014_000000015307,cup hot_dog dining_table
COCO_train2014_000000328812,person sandwich hot_dog
COCO_train2014_000000246920,hot_dog
COCO_train2014_000000576810,person handbag hot_dog
COCO_train2014_000000046298,bowl hot_dog
COCO_train2014_000000235437,cup hot_dog
COCO_train2014_000000576993,person bottle cup fork knife bowl hot_dog dining_table
COCO_train2014_000000329623,person bottle cup knife apple broccoli hot_dog chair dining_table
COCO_train2014_000000257615,cup hot_dog dining_table
COCO_train2014_000000124829,person sandwich hot_dog
COCO_train2014_000000568393,cup spoon sandwich hot_dog dining_table
COCO_train2014_000000495875,person bottle cup fork spoon bowl carrot hot_dog dining_table
COCO_train2014_000000117601,person sandwich hot_dog
COCO_train2014_000000316170,cup bowl hot_dog
COCO_train2014_000000439602,hot_dog
COCO_train2014_000000354530,hot_dog
COCO_train2014_000000300070,person bottle fork hot_dog dining_table
COCO_train2014_000000197739,person fork sandwich hot_dog chair potted_plant
COCO_train2014_000000167683,person sandwich hot_dog
COCO_train2014_000000250922,person bottle hot_dog chair dining_table
COCO_train2014_000000528892,bottle fork bowl broccoli hot_dog chair dining_table book
COCO_train2014_000000166141,person hot_dog
COCO_train2014_000000520155,person sandwich hot_dog
COCO_train2014_000000399408,cup hot_dog dining_table
COCO_train2014_000000238589,person bottle hot_dog chair
COCO_train2014_000000185623,bottle hot_dog
COCO_train2014_000000303586,wine_glass hot_dog dining_table
COCO_train2014_000000099077,dog hot_dog
COCO_train2014_000000338077,person hot_dog
COCO_train2014_000000280721,hot_dog
COCO_train2014_000000568098,person hot_dog dining_table
COCO_train2014_000000009698,person dog sandwich hot_dog
COCO_train2014_000000495077,person knife hot_dog
COCO_train2014_000000339295,spoon hot_dog
COCO_train2014_000000205955,person hot_dog chair
COCO_train2014_000000580930,person hot_dog
COCO_train2014_000000085777,hot_dog
COCO_train2014_000000200377,hot_dog
COCO_train2014_000000180327,person bottle sandwich hot_dog dining_table
COCO_train2014_000000581668,fork bowl sandwich carrot hot_dog
COCO_train2014_000000101904,person umbrella bottle hot_dog chair dining_table laptop cell_phone
COCO_train2014_000000537055,person hot_dog
COCO_train2014_000000374661,person bottle cup spoon bowl hot_dog chair potted_plant dining_table tv vase
COCO_train2014_000000066877,person bottle hot_dog chair dining_table
COCO_train2014_000000338288,person car cup hot_dog chair dining_table
COCO_train2014_000000086064,person sandwich hot_dog
COCO_train2014_000000459152,person hot_dog
COCO_train2014_000000010046,bottle spoon bowl sandwich hot_dog
COCO_train2014_000000499801,sandwich hot_dog
COCO_train2014_000000099788,person hot_dog
COCO_train2014_000000569667,hot_dog
